fb_internal_id,fb_published_date,fb_title,fb_link,fb_description,likes,shares,comments,consumptions
301552756599088_1316937121727308,2017-03-30 17:12:58+02,En la otra cara del acoso escolar también hay héroes que luchan por sus convicciones - La Mente es Maravillosa,https://lamenteesmaravillosa.com/la-otra-cara-del-acoso-escolar-tambien-heroes-luchan-convicciones/,Es necesario prevenir el acoso escolar visibilizando a los pequeños héroes que defienden valientemente sus convicciones. El respeto es la clave.,390,209,9,1039
301552756599088_1316980245056329,2017-03-30 18:56:42+02,"No quiero que me quieras mucho, quiero que me quieras ""bien""",https://lamenteesmaravillosa.com/no-quiero-me-quieras-mucho/,"Querer mucho, aunque que nos cueste creerlo, no siempre es sinónimo de querer bien, porque la cantidad no siempre va de la mano de la felicidad.",11239,4989,70,23050
301552756599088_1316986418389045,2017-03-30 20:33:55+02,"Dar un buen ejemplo a los hijos, el mejor regalo que puedes hacerles - La Mente es Maravillosa",https://lamenteesmaravillosa.com/dar-un-buen-ejemplo-a-los-hijos-el-mejor-regalo-que-puedes-haceles/,Los hijos imitan todo lo que sus padres hacen y también todo lo que dicen. A veces recriminamos conductas que nosotros mismos hacemos y es ahí donde tenemos que autodisciplinarnos y predicar con lo que decimos.,3001,1786,36,4148
301552756599088_1317175085036845,2017-03-30 22:13:25+02,Hoy elijo que el resto de mi vida sea lo mejor de mi vida - La Mente es Maravillosa,https://lamenteesmaravillosa.com/hoy-elijo-que-el-resto-de-mi-vida-sea-lo-mejor-de-mi-vida/,"Hoy elijo ser feliz, elijo  quererme un poco más, y que las estrellas den luz a ese sendero de mi vida que me queda por transitar.",13355,9139,124,25940
301552756599088_1317009418386745,2017-03-30 23:59:53+02,Los abrazos expresan lo que llevamos dentro - La Mente es Maravillosa,https://lamenteesmaravillosa.com/los-abrazos-expresan-lo-llevamos-dentro/,Descubre por qué los abrazos son las demostraciones de amor más bonitas que podemos dar los seres humanos dado el gran sentimiento que se pone en ellos.,8699,6384,114,17282
301552756599088_1316988101722210,2017-03-31 01:55:00+02,5 comportamientos que revelan falta de inteligencia emocional - La Mente es Maravillosa,https://lamenteesmaravillosa.com/5-comportamientos-revelan-falta-inteligencia-emocional/,La falta de inteligencia emocional trae consigo una multitud de malestares y conflictos innecesarios. Esta competencia se puede desarrollar.,6645,7197,79,88095
301552756599088_1317706304983723,2017-03-31 14:30:00+02,"Todos necesitamos cariño, necesitamos que nos quieran - La Mente es Maravillosa",https://lamenteesmaravillosa.com/todos-necesitamos-carino-necesitamos-nos-quieran/,"Dar y recibir cariño es más beneficioso que perjudicial, no nos cabe la menor duda. ¿Y tú? ¿has sentido ya lo beneficioso que es dar y recibir cariño?",4249,1928,27,8520
301552756599088_1317744201646600,2017-03-31 16:55:16+02,¿Todavía te lo estás pensando? Haz el Camino de Santiago - La Mente es Maravillosa,https://lamenteesmaravillosa.com/todavia-te-lo-estas-pensando-haz-camino-santiago/,"Convertirse en peregrino y realizar el Camino de Santiago va a mejorar nuestra salud física, convertirnos en mejores personas y establecer amistades fuertes en tan solo unos días.",1948,839,180,9556
301552756599088_1317744798313207,2017-03-31 20:30:03+02,"Si amas con todo tu ser, no mereces a quien solo te quiere a medias - La Mente es Maravillosa",https://lamenteesmaravillosa.com/amas-no-mereces-quien-solo-te-quiere-medias/,"Cuando amas con todo tu ser, mereces a alguien que ame con todo su ser. No mereces las medias tintas, ni que te amen desde los restos.",3941,1461,23,11315
301552756599088_1318181774936176,2017-03-31 21:00:44+02,Aplicación gratuita sobre los cursos de "La mente es Maravillosa",https://lamenteesmaravillosa.com/aplicacion-gratuita-cursos-mente-maravillosa/,La aplicación gratuita de los cursos "La mente es Maravillosa" pone a tu disposición todo un universo de saberes y disciplinas para favorecer tu bienestar.,166,21,3,596
301552756599088_1317821724972181,2017-03-31 22:00:00+02,"Lo que otras personas piensen de ti es su realidad, no la tuya",http://lamenteesmaravillosa.com/lo-que-otras-personas-piensen-de-ti-es-su-realidad-no-la-tuya/,"Lo que otras personas piensen de ti es su realidad, no la tuya. Ellos saben tu nombre, pero no tu historia.",10325,7753,97,17809
301552756599088_1317824948305192,2017-04-01 03:03:30+02,Cuando la apariencia física se trasforma en cárcel (trastorno dismórfico corporal) - La Mente es Maravillosa,https://lamenteesmaravillosa.com/cuando-la-apariencia-fisica-se-trasforma-carcel-trastorno-dismorfico-corporal/,"El trastorno dismórfico corporal es una patología que provoca excesiva preocupación por defectos, reales o imaginados, causando un gran sufrimiento.",380,272,4,3190
301552756599088_1318841704870183,2017-04-01 14:30:00+02,5 momentos irrepetibles que ningún ser humano olvida - La Mente es Maravillosa,https://lamenteesmaravillosa.com/5-momentos-irrepetibles-ningun-humano-olvida/,"Algunos momentos quedan fijados en la memoria y en el corazón para siempre, porque son irrepetibles. Nos revelan lo nuevo y lo trascendente de la vida",735,305,15,6497
301552756599088_1318842714870082,2017-04-01 18:41:24+02,"Nikola Tesla, la soledad del genio de la luz",https://lamenteesmaravillosa.com/nikola-tesla-la-soledad-del-genio-la-luz/,"Suele decirse que Nikola Tesla fue el genio que iluminó el mundo y que para imaginar nuestra vida sin su legado, bastaría simplemente con apagar la luz.",1939,784,26,6083
301552756599088_1318844431536577,2017-04-01 20:30:00+02,¿Qué se esconde detrás de un maltratador de animales? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/que-se-esconde-tras-un-maltratador-de-animales/,¿Qué clase de gente puede maltratar animales? ¿Qué se esconde tras ese comportamiento ¿Qué grado de responsabilidad tiene nuestra cultura para con ello?,552,419,62,4462
301552756599088_1319317324822621,2017-04-01 22:00:00+02,"Cuando te permites lo que mereces, atraes lo que necesitas",http://lamenteesmaravillosa.com/cuando-te-permites-lo-que-mereces-atraes-lo-que-necesitas/,"Cuando eres consciente de lo que mereces, y por fin, te lo concedes y aprendes a priorizarte un poco más a ti mismo, llegará lo que necesitas en realidad.",11688,6376,92,25973
301552756599088_1318840164870337,2017-04-01 23:59:08+02,Estoy empezando a sospechar que el amor de mi vida soy yo - La Mente es Maravillosa,https://lamenteesmaravillosa.com/estoy-empezando-sospechar-amor-vida/,"No quiero ser mejor que tú ni tener lo que tú tienes. Me basta con ser yo el amor de mi vida, para ofrecerte mi alma tranquila, mi corazón sin rencores.",10888,5423,105,19167
301552756599088_1318844888203198,2017-04-02 02:00:11+02,Impide que lo que no puedes hacer interfiera en lo que sí puedes hacer - La Mente es Maravillosa,https://lamenteesmaravillosa.com/impide-lo-no-puedes-interfiera-lo-puedes/,"Hoy es el mañana por el que ayer tanto nos preocupábamos.Las cosas que podemos hacer son más que las que no podemos, pero no verlo es una forma de evitarlas",883,336,6,2929
301552756599088_1318840644870289,2017-04-02 14:30:00+02,Creencias erróneas sobre la hipnosis clínica - La Mente es Maravillosa,https://lamenteesmaravillosa.com/creencias-erroneas-sobre-la-hipnosis-clinica/,La hipnosis clínica está rodeada de mitos que desacreditan esta herramienta tan útil y efectiva en la cual muchos terapeutas se han formado.,306,114,8,2716
301552756599088_1320031758084511,2017-04-02 16:30:00+02,¿Sabes qué es la socialización diferencial y cómo nos afecta? - La Mente es Maravillosa,https://lamenteesmaravillosa.com/la-socializacion-diferencial/,Descubre en La Mente es Maravillosa qué es la socialización diferencial y cómo podemos actuar para paliar esta situación de desigualdad de género,196,130,1,2969
